"nctid","anticipated_enrollment","actual_enrollment","has_summary_results","has_publication","phase_recoded","has_publ_or_summary","source"
"NCT01417312",24,20,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01418053",48,48,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01422512",126,126,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01433653",NA,51,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01437930",60,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01450865",NA,20,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01450930",12,12,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01456351",NA,230,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01458457",280,275,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01481584",NA,28,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01490268",50,50,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01500330",84,84,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01500993",NA,401,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01502241",NA,412,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01503216",120,120,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01510704",200,215,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT01516021",NA,11,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01519739",15,15,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01524055",66,107,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01526447",54,54,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01539330",9,9,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01540357",NA,36,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01543243",30,30,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01555840",200,189,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01566825",NA,32,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01586091",NA,18,TRUE,TRUE,"IV",TRUE,"Intovalue"
"NCT01591031",60,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01598649",75,72,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01618565",200,203,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01624961",42,30,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01631123",120,120,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01652391",NA,44,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01654679",NA,400,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01656928",NA,375,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01668485",NA,36,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01669109",60,54,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01673048",25,18,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01683578",50,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01685775",NA,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01693016",60,81,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01703819",70,66,TRUE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01711905",190,107,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01716286",NA,11,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01724437",NA,102,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01729546",120,114,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01731249",NA,574,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01737034",NA,32,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01769105",40,40,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01778270",35,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01789021",120,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01806012",NA,160,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01810471",NA,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01812304",170,172,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01845194",120,117,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01856179",NA,78,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01871831",20,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01886014",NA,80,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01886365",NA,75,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01909687",250,163,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02007005",NA,37,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT02027038",NA,42,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02038062",NA,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02056951",NA,536,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02130115",NA,12,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02181101",NA,3754,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT02189408",NA,58,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT02196545",NA,30,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02220764",NA,32,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02586181",NA,93,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02595229",NA,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
