"nctid","anticipated_enrollment","actual_enrollment","has_summary_results","has_publication","phase_recoded","has_publ_or_summary","source"
"NCT01316198",20,20,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01328795",NA,249,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01339819",70,70,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01363362",150,150,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01370551",16,16,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01378078",20,20,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01382017",20,18,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01386619",15,15,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01387048",60,60,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01406067",100,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01418066",32,32,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01420211",NA,45,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01441791",900,900,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01448265",40,40,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01460758",45,45,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01474265",85,85,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01478880",16,NA,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01481909",NA,30,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT01498731",900,902,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01502163",90,90,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01510860",NA,65,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01521585",144,144,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01538173",NA,334,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01553838",248,185,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01556529",NA,405,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01561248",NA,33,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01575704",68,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01577134",300,310,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01581346",NA,40,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01582893",42,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01587157",NA,20,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01596777",NA,15,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01606462",200,153,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01607775",NA,88,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01607970",NA,80,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01612754",NA,16,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01613287",12,12,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01616966",NA,65,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01626274",20,8,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01627457",30,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01631799",NA,80,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01634958",320,308,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01638793",528,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01660464",50,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01662232",50,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01663311",40,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01669382",304,304,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01669863",6,6,TRUE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01676246",NA,36,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01693497",NA,150,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01696526",55,53,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01703832",70,65,TRUE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01716832",NA,74,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01729234",20,20,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01742468",35,38,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01752725",NA,30,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01761448",50,37,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01767545",NA,64,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01788800",NA,46,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01793558",40,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01798160",24,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01834547",NA,40,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01834573",40,36,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01859416",NA,87,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01900067",NA,271,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01903538",NA,28,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01905254",NA,34,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01921777",96,95,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01923961",8,8,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01933191",30,30,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01939639",NA,40,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01981915",NA,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01993056",NA,265,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02039648",NA,35,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT02112396",NA,89,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02154607",NA,263,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02197546",NA,49,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02199106",NA,23,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02297646",NA,23,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT02340351",NA,136,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02359266",NA,111,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02480608",NA,113,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT02487368",NA,166,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02515019",NA,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02529358",NA,180,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02548208",NA,46,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02557113",NA,36,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02643602",NA,152,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02651766",NA,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02771652",NA,126,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02804412",NA,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02920164",NA,44,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT03063008",NA,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00132210",200,NA,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00137124",120,120,FALSE,FALSE,"II-III",FALSE,"Intovalue"
"NCT00150839",80,80,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00156338",108,108,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00160966",NA,108,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00176046",NA,114,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00188136",50,32,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00199004",40,NA,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00298909",50,48,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00433459",2150,2134,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00452192",30,30,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00464893",70,70,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00507494",NA,NA,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00510588",120,120,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00511277",60,NA,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00514423",896,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00525668",100,120,FALSE,FALSE,"I-II",FALSE,"Intovalue"
"NCT00540631",200,108,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00545441",106,86,TRUE,FALSE,"Not given",TRUE,"Intovalue"
"NCT00558662",200,234,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00561587",40,NA,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00569257",82,85,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00599495",49,50,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00617578",200,194,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00621114",69,69,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00629135",180,180,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00637676",50,NA,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00642928",130,108,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00653731",360,327,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00690612",35,35,TRUE,FALSE,"III",TRUE,"Intovalue"
"NCT00691002",1225,1245,TRUE,FALSE,"III",TRUE,"Intovalue"
"NCT00711360",300,303,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00727012",150,180,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00727181",120,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00732329",200,160,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00753350",10,15,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT00764075",132,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00773565",40,62,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00777127",240,258,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00782080",150,155,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00810095",50,40,TRUE,FALSE,"II",TRUE,"Intovalue"
"NCT00818181",NA,73,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00819572",126,27,FALSE,FALSE,"I-II",FALSE,"Intovalue"
"NCT00823173",25,9,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00826475",60,62,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00842959",120,NA,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00852020",60,60,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00853866",12,12,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT00854893",70,70,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00865501",50,50,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00866944",90,35,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00872846",20,20,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT00878917",32,32,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00899964",400,184,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00909012",125,114,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00910195",150,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00914680",20,NA,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT00919958",15,15,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT00921024",120,129,TRUE,FALSE,"II",TRUE,"Intovalue"
"NCT00927134",NA,2,FALSE,FALSE,"I-II",FALSE,"Intovalue"
"NCT00968448",40,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00985179",1000,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01014871",30,30,TRUE,FALSE,"II",TRUE,"Intovalue"
"NCT01019174",70,40,FALSE,FALSE,"I-II",FALSE,"Intovalue"
"NCT01032252",400,378,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01035853",10,10,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01048411",NA,344,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01051310",20,18,TRUE,FALSE,"Not given",TRUE,"Intovalue"
"NCT01057160",200,195,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01061190",250,20,FALSE,FALSE,"II-III",FALSE,"Intovalue"
"NCT01064583",62,62,FALSE,FALSE,"I-II",FALSE,"Intovalue"
"NCT01070251",800,826,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01074671",75,77,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01080963",860,650,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01081574",44,36,FALSE,FALSE,"I-II",FALSE,"Intovalue"
"NCT01108133",20,13,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01112137",NA,46,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01117649",228,63,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01129999",336,360,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01134757",600,425,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01144429",320,344,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01168557",15,8,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01178437",NA,7,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01187797",21,21,FALSE,FALSE,"I-II",FALSE,"Intovalue"
"NCT01195896",15,9,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01208649",NA,13,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01234389",120,120,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01264146",160,20,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01264172",90,50,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01266200",100,40,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01289145",500,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01317446",180,180,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01318148",25,25,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01341158",42,42,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01342601",75,72,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01345526",124,124,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01348425",45,45,TRUE,FALSE,"Not given",TRUE,"Intovalue"
"NCT01349790",95,40,TRUE,FALSE,"III",TRUE,"Intovalue"
"NCT01351272",40,41,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT01352741",500,622,TRUE,FALSE,"IV",TRUE,"Intovalue"
"NCT01363895",120,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01382914",16,16,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01388998",24,24,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01391078",10,12,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01393275",NA,68,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01412190",NA,30,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01413815",640,269,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01418820",30,32,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01427985",24,24,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01431118",40,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01449890",306,92,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01457833",50,60,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01468194",30,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01484249",NA,38,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01501916",250,250,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01515397",64,40,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT01528332",170,171,TRUE,FALSE,"III",TRUE,"Intovalue"
"NCT01549015",30,37,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01550627",NA,60,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT01550653",40,40,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT01552837",NA,33,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01553032",500,139,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01562925",260,260,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT01580176",100,100,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01581450",NA,20,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT01582347",140,143,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01584180",20,NA,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01594736",30,30,FALSE,FALSE,"IV",FALSE,"Intovalue"
"NCT01596764",NA,16,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT01607684",50,50,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01631175",100,100,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT01648660",100,80,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01666639",214,351,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01701180",35,23,FALSE,FALSE,"I",FALSE,"Intovalue"
"NCT01708577",20,12,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01713374",30,40,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01788917",NA,10,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01919632",330,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT02040324",NA,100,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT02157090",NA,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT02157181",NA,89,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT02177474",NA,108,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT02234609",NA,69,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT02794896",NA,16,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT03114449",NA,150,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT00488124",120,NA,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00615940",100,132,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT00751504",20,16,FALSE,FALSE,"III",FALSE,"Intovalue"
"NCT01053832",84,NA,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01123811",NA,45,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01200472",30,30,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01247831",150,150,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01306903",180,68,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT01444235",516,102,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT02156791",NA,61,FALSE,FALSE,"II",FALSE,"Intovalue"
"NCT01510080",40,42,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02990039",NA,176,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02283099",30,30,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT01351246",300,300,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02848352",128,128,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01266837",80,64,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT01258153",120,115,TRUE,FALSE,"II",TRUE,"Intovalue"
"NCT02710617",110,109,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03423576",NA,318,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01966146",200,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01644032",80,106,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03105024",66,71,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00749723",200,174,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT02110043",22,21,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01865604",120,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01791790",22,32,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01219244",330,NA,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT01105143",60,81,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00850629",320,286,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00437307",550,550,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT02721836",58,59,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01914341",20,20,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT02836665",100,100,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02395159",204,204,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01812616",20,21,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01854255",50,35,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT02071615",48,48,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01984788",25,24,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01963793",20,20,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT01914965",40,40,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01845142",40,40,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT02404844",99,48,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT02099968",142,145,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01455675",180,164,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT02487381",60,NA,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT03046940",120,120,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT03092206",30,30,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT02318810",160,300,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03184272",NA,50,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02858817",30,30,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT02531386",120,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02694926",450,528,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02790073",15,14,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT02002871",20,21,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01347567",375,145,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02547519",44,44,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT02610764",20,19,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03404232",NA,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03079518",24,23,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT02735187",50,51,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02322502",351,352,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT02004847",50,47,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01884376",20,20,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01839084",50,46,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01712464",40,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01647854",1250,425,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01644006",180,39,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01199276",256,256,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00785109",200,99,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00554502",148,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01578525",300,61,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03860129",NA,30,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03587324",NA,176,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02468427",150,137,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02406014",500,502,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT02342509",NA,63,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02330471",120,160,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01809379",50,69,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01470677",44,220,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00561990",188,NA,FALSE,TRUE,"II-III",TRUE,"Intovalue"
"NCT03829839",NA,120,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT03425929",NA,70,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT03265899",NA,60,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT03011970",NA,116,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT02701933",NA,24,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02280226",18,17,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02156661",100,97,FALSE,TRUE,"I",TRUE,"Intovalue"
"NCT02012985",24,28,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT01914159",30,24,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT01852149",50,35,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01651780",620,803,TRUE,TRUE,"III",TRUE,"Intovalue"
"NCT01149109",128,141,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00770783",30,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT02479412",48,54,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT02997137",NA,74,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT03312816",60,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03281616",NA,110,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT03114306",40,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02963298",40,42,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02947542",300,300,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02930590",15,15,TRUE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02896062",48,48,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02893800",40,40,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02794272",24,24,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02794259",24,24,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02755246",30,30,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT02741973",100,102,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02720952",24,24,TRUE,TRUE,"III",TRUE,"Intovalue"
"NCT02685696",NA,200,FALSE,FALSE,"Not given",FALSE,"Intovalue"
"NCT02664805",90,91,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT02658370",NA,30,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02569619",90,86,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT02566369",1200,1208,TRUE,TRUE,"III",TRUE,"Intovalue"
